Observation,a_443,S_mod1,SR,r2_mod1,Station_name,Station_name_norsk,Station_code,Depth,Date,Comment
VR58_Ullsfjorden_211014_10m,0.099515643,0.018014084,1.734337143,0.996141225,Ullsfjorden,Ullsfjorden,VR58,10,14/10/2021,
VR54_Straumsfjorden_211030_10m,0.099614324,0.017807161,1.649348057,0.997948605,Straumsfjorden,Straumsfjorden,VR54,10,30/10/2021,
VT16_210714_30m,0.100093277,0.017803685,1.635309505,0.995088068,Kyrkjeboe,Kyrkjebø,VT16,30,14/07/2021,
VR58_210624_10m,0.100166954,0.015740215,1.645191553,0.997187551,Ullsfjorden,Ullsfjorden,VR58,10,24/06/2021,
VT16_Kyrkjebo_210818_30m,0.102958049,0.016667797,1.549498856,0.997731824,Kyrkjeboe,Kyrkjebø,VT16,30,18/08/2021,
VR54_Straumsfjorden_211030_0m,0.104699273,0.018155253,1.559494044,0.998382873,Straumsfjorden,Straumsfjorden,VR54,0,30/10/2021,
VR54_Straumsfjorden_210621_30m,0.105811093,0.021600049,1.7439312,0.992836075,straumsfjorden,Straumsfjorden,VR54,30,21/06/2021,
VR54_Straumsfjorden_210928_10m,0.106014855,0.017908147,1.653784337,0.998458413,Straumsfjorden,Straumsfjorden,VR54,10,28/09/2021,
VR58_210624_30m,0.107908816,0.015296489,1.798614791,0.996410833,Ullsfjorden,Ullsfjorden,VR58,30,24/06/2021,
VR58_Ullsfjorden_210902_5m,0.108565452,0.017194937,1.76243849,0.998760154,Ullsfjorden,Ullsfjorden,VR58,5,02/09/2021,
VT71_Skinnbrokleia_210930_20m,0.108796538,0.018100439,1.750586159,0.998081988,Skinnbrokleia,Skinnbrokleia,VT71,20,30/09/2021,
VR58_210624_0m,0.109310407,0.016337645,1.556937935,0.99753111,Ullsfjorden,Ullsfjorden,VR58,0,24/06/2021,
VR54_Straumsfjorden_210503_20m,0.11040248,0.016723351,1.733026765,0.995665614,straumsfjorden,Straumsfjorden,VR54,20,03/05/2021,
VR21_Bugoynes_210916_20m,0.111120705,0.015753919,1.903577243,0.998306017,Bugoeynes,Bugøynes,VR21,20,16/09/2021,
VR21_210707_20m,0.111420511,0.01739695,1.497852059,0.997313456,Bugoeynes,Bugøynes,VR21,20,07/07/2021,
VR58_Ullsfjorden_210902_10m,0.111737095,0.016761782,1.777155227,0.998552408,Ullsfjorden,Ullsfjorden,VR58,10,02/09/2021,
VR21_210707_0m,0.111756165,0.01901805,1.254421155,0.99830751,Bugoeynes,Bugøynes,VR21,0,07/07/2021,
VR21_Bugoynes_211020_5m,0.11248088,0.01550424,1.903072042,0.997862783,Bugoeynes,Bugøynes,VR21,5,20/10/2021,
VT16_Kyrkjebo_210916_0m,0.113171674,0.016011665,1.6053796,0.99835964,Kyrkjeboe,Kyrkjebø,VT16,0,16/09/2021,
VR54_Straumsfjorden_210928_5m,0.113225388,0.01734976,1.636028547,0.998761623,Straumsfjorden,Straumsfjorden,VR54,5,28/09/2021,
VR21_210610_10m,0.114449071,0.018317684,1.368533676,0.99794116,Bugoeynes,Bugøynes,VR21,10,10/06/2021,
VR21_210610_30m,0.115144754,0.015657598,1.552542721,0.997043082,Bugoeynes,Bugøynes,VR21,30,10/06/2021,
VR54_Straumsfjorden_210804_0m,0.117872307,0.019545122,1.105983875,0.998063819,straumsfjorden,straumsfjorden,VR54,0,04/08/2021,
VT16_Kyrkjebo_210818_10m,0.118855493,0.01676983,1.436709442,0.998711528,Kyrkjeboe,Kyrkjebø,VT16,10,18/08/2021,
VR54_Straumsfjorden_210519_30m,0.119770539,0.015851984,1.931842538,0.994817207,straumsfjorden,Straumsfjorden,VR54,30,19/05/2021,
VR54_Straumsfjorden_210621_20m,0.120393469,0.017468843,1.583871732,0.996735496,straumsfjorden,Straumsfjorden,VR54,20,21/06/2021,
VT71Skinnbrokleia_210617_20m,0.120558009,0.017946771,1.472259043,0.997899892,Skinnbrokleia,Skinnbrokleia,VT71,20,17/06/2021,
VR54_Straumsfjorden_211030_30m,0.120584559,0.015905148,1.913948872,0.998043788,Straumsfjorden,Straumsfjorden,VR54,30,30/10/2021,
VT16_Kyrkjebo_210916_20m,0.120597099,0.015222899,1.664303517,0.998535734,Kyrkjeboe,Kyrkjebø,VT16,20,16/09/2021,
VT16_Kyrkjebo_210916_10m,0.120968191,0.015379264,1.656484998,0.998472334,Kyrkjeboe,Kyrkjebø,VT16,10,16/09/2021,
VT71Skinnbrokleia_210617_0m,0.123695276,0.01684228,1.469765595,0.997523405,Skinnbrokleia,Skinnbrokleia,VT71,0,17/06/2021,
